id,from_id,to_id,type,description,product_id,confidence,status,value,unit,value_type,period,valid_from,valid_to,source_ids,note
rel_delta_2025_produces_ai_power_supply,TWSE_2308,ai_power_supply,PRODUCES,Delta reports AI power supply solutions for AI data center power demand,ai_power_supply,0.90,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_data_center_power_solution,TWSE_2308,data_center_power_solution,PRODUCES,Delta reports data center power solutions including high-voltage DC power architecture,data_center_power_solution,0.90,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_high_voltage_dc_power,TWSE_2308,high_voltage_dc_power,PRODUCES,Delta reports high-voltage DC power architecture including 800VDC and 400VDC,data_center_power_solution,0.85,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_dc_dc_power_module,TWSE_2308,dc_dc_power_module,PRODUCES,Delta reports DC/DC power modules for AI server rack power delivery,dc_dc_power_module,0.90,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_power_distribution_module,TWSE_2308,power_distribution_module,PRODUCES,Delta reports power distribution modules for data center power conversion and distribution,power_distribution_module,0.85,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_in_row_power_rack,TWSE_2308,in_row_power_rack,PRODUCES,Delta reports a 1.1MW in-row power rack for high-density AI server deployments,in_row_power_rack,0.90,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_rack_power_supply,TWSE_2308,rack_power_supply,PRODUCES,Delta reports rack power supplies including 90kW DC/DC and 106kW AC/DC rack units,rack_power_supply,0.90,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_power_capacitor_system,TWSE_2308,power_capacitor_system,PRODUCES,Delta reports power capacitor systems for rack-level power stability,power_capacitor_system,0.85,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
rel_delta_2025_produces_liquid_cooling_solution,TWSE_2308,liquid_cooling,PRODUCES,Delta reports liquid cooling solutions for high-performance AI data center thermal demand,liquid_cooling,0.90,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction; reused existing liquid_cooling node
rel_delta_2025_produces_cold_plate,TWSE_2308,cold_plate,PRODUCES,Delta reports cold plate modules for liquid cooling systems,cold_plate,0.85,candidate,,,reported,2025,,,source_delta_2025_chairman_statement,created_by=llm_extraction
